fy_rec'd,epa_file_#,summary_status,_merge,named_entity,clean_date_received,recent_status_date,time_difference,detailed_status,primary_status_map,simplified_status,compare_statuses,reason_for_rejection_if_applicable,presidential_administration,environmental_justice_issue_cited,city,state,zip_code,community_impacted,referred_agency,is_unique,filed_by_a_lawyer,group_filing,filed_on_behalf_of,epa_initiated_compliance_review,complaint_about_environmental_justice_matter,notes_on_ej_categorization,more_than_one_complaint,total_related_complaints,related_complaint_numbers,complaint_link,notes,additional_notes,disc_basis_1,disc_basis_2,related_documents,origin,final_adjudication_&_reason,disc_basis_3,disc_basis_4,disc_basis_5
fy23,07rno-23-r6,active,both,louisiana dept. of envir. quality,2023-05-31,2023-06-13,13.0,pending: under jurisdictional review,pending,pending: under jurisdictional review,False,,Biden,"The states of Louisiana and Texas have failed to properly implement air-quality standards, ""specifically their abuse of EPA’s 'significant impact levels' ('SILs') guidance. ... They instead use the SILs unlawfully as a tool to permit large concentrations of heavy-emitting industry to build in areas where modeling shows the air may no longer meet the NAAQS [air quality standards]. They do it without exercising the case-by-case discretion that the SILs Guidance requires or complying with the Clean Air Act’s prohibition on causing or contributing to such violations. And in nearly every instance we describe, the resulting harm—air that is dangerous to breathe—falls most heavily on the predominately Black, Latino, or Indigenous, as well as low-income communities that live closest to these industrial facilities. This is how sacrifice zones are created.""",mutiple,TX and LA,multiple,"Predominately Black, Latino or Indigenous and low-income communities",,yes,Yes,Earthjustice,RISE St. James; Vessel Project of Louisiana; For a Better Bayou; Deep South Center for Environmental Justice; Healthy Gulf; Louisiana Bucket Brigade; Sierra Club,No,Yes,,,1.0,,https://www.epa.gov/system/files/documents/2023-06/07RNO-23-R6%20Complaint_Redacted.pdf,"Unredacted complaint: https://earthjustice.org/wp-content/uploads/2023/05/petition-epa-under-caa-title-vi-re-sils.pdf. Quote: ""EPA possesses a wide range of legal authority empowering, and in some instances requiring it, to correct this harm, under both the Clean Air Act and Title VI of the Civil Rights Act.""",Press release: https://earthjustice.org/press/2023/gulf-groups-file-petition-to-correct-louisiana-and-texas-violation-of-air-pollution-permitting-standards,race, national origin,07rno-23-r6 complaint (pdf) (9.18 mb),epa,,,,
fy23,10r-23-r4,active,both,"city of dothan, ala.",2023-05-24,2023-06-13,20.0,pending: under jurisdictional review,pending,pending: under jurisdictional review,False,,Biden,"Short complaint: ""EPA made a grant of $297,000 to the City of Dothan, Alabama (https://www.usaspending.gov/award/ASST_NON_01D11020_6800). Attached is a document indicating that the City of Dothan may have submitted an application for an additional grant from EPA for $500,000. I can find no evidence that the recipient has complied with 40 CFR 7.85(g), 7.90, or 7.95. I request that you investigate whether the City has violated EPA's Title VI requirements and withhold making any new grants until these requirements have been fully complied with.""",Dothan,AL,not cited,not cited,,yes,Yes,Law office of David A. Ludder,,No,Yes,"He didn't cite specifics (including the groups discriminated against), but he has represented residents in other complaints to the EPA regarding the Dothan landfill and racial discrimination",,1.0,,https://www.epa.gov/system/files/documents/2023-05/City%20of%20Dothan%20Title%20VI%20Violation%20Complaint.pdf,,,race,,10r-23-r4 complaint (pdf) (3.21 mb),epa,,,,
fy23,06r-23-r5,closed,left_only,michigan. dept. of edu.,2023-05-17,2023-06-09,23.0,rejected and referred to u.s. dept. of education 6/9/2023: lack of jurisdiction,rejected and referred,,False,,,,,,,,u.s. dept. of education ,,,,,,,,,,,,,,race,,06r-23-r5 complaint and appendix (pdf) (560.31 kb) 06r-23-r5 rec reject-referral (pdf) (177.65 kb) 06r-23-r5 ed referral ltr (pdf) (118.31 kb),epa,,,,
fy23,05r-23-r5,active,both,indiana dept. of envir. mgmt,2023-05-16,2023-06-13,28.0,pending: under jurisdictional review,pending,pending: under jurisdictional review,False,,Biden,"IDEM granted a renewed permit for the (not yet constructed) Maya Energy waste facility in Northern Lake County, ""a predominantly nonwhite area plagued with health disparities that are caused or exacerbated by an abundance of air pollution. Despite being aware of these environmental justice issues, IDEM chose a policy of ignoring the disparate impact of its permitting actions that resulted in Northern Lake County being used as a sacrifice zone for the most noxious and heavily-polluting industries.""",Gary and Northern Lake County,IN,not cited,Predominantly Black community,,yes,Yes,Environmental Law & Policy Center,redacted people and/or groups,No,Yes,,,1.0,,https://www.epa.gov/system/files/documents/2023-05/05R-23-R5%20Complaint_Redacted.pdf,,,race,,05r-23-r5 complaint (pdf) (3.15 mb),epa,,,,
fy23,09r-23-r4,active,both,"beaufort county, sc",2023-05-09,2023-06-13,35.0,pending: under jurisdictional review,pending,pending: under jurisdictional review,False,,Biden,"Complainant is concerned that a proposed high-end development will push the Gullah Geechee from their homes and encroach on a ""delicate and fragile"" ecosystem",St. Helena Island,SC,not cited,Predominantly Black community,,yes,No,Redacted individual,,No,Unlikely,Primary concern is about displacement and cultural impacts; some references to wildlife,,1.0,,https://www.epa.gov/system/files/documents/2023-05/09R-23-R4%20Complaint%20Redacted.pdf,,,race,,09r-23-r4 complaint (pdf) (287.91 kb),epa,,,,
fy23,08r-23-r4,active,both,alabama dept. of envir. mgmt. (mobile ),2023-05-08,2023-06-13,36.0,pending: under jurisdictional review,pending,pending: under jurisdictional review,False,,Biden,"ADEM’s issuance of permits for five sites ""within a one-week period in November 2022 and without meaningful consideration the impact of these sources’ emissions on the surrounding communities in Mobile, including the predominantly Black neighborhood of Africatown ... the first established and controlled by African-born freedmen in the United States.""",Mobile,AL,not cited,Predominantly Black community,,yes,Yes,Laumann Legal; Smith Environmental Law,Mobile Environmental Justice Action Coalition; GASP; Africatown Clean Healthy Educated Safe and Sustainable Community; the Mobile Chapter of the NAACP,No,Yes,,,1.0,,https://www.epa.gov/system/files/documents/2023-05/08R-23-R4%20Complaint_Redacted.pdf,Significant civil-rights history in this complaint,,race,,08r-23-r4 complaint (pdf) (3.33 mb),epa,,,,
fy23,05rno-23-r4,active,both,nc envir. mgmt. comm'n,2023-04-21,2023-06-13,53.0,pending: under jurisdictional review,pending,pending: under jurisdictional review,False,,Biden,"Agency has failed ""to adequately regulate the dry litter poultry industry,"" discriminating against Native, Black and Latino communities in Robeson, Duplin and Sampson counties.","Robeson, Duplin and Sampson counties",NC,multiple,"Native, Black and Latino communities",,no,Yes,Vermont Law School Environmental Justice Clinic,Lumber River Waterkeeper Jefferson Currie; environmental organizer Donna Chavis; Friends of the Earth,No,Yes,,Yes,2.0,"05RNO-23-R4, 06RNO-23-R4",https://www.epa.gov/system/files/documents/2023-04/05RNO-23-R4%20Complaint%20Redacted.pdf,"""Production involves confining thousands of chickens or turkeys in long barns, and the litter (a combination of feces, urine, water, and sawdust or other bedding) is typically stored in outdoor piles attracting rodents and incubating generations of flies. The smell of the litter has been compared to 'rotting meat' and 'putrid death.' One declarant described the piles of litter or 'crust': 'Crust is dumped across the street from my house around every hundred days…. Each of the five piles is over eight feet tall. They stand there and started fuming off. The odor is terrible. Sometimes it feels like the flies are about to eat us alive—the dogs can’t even live in the yard.' Additionally, chemicals and nutrients from the litter run off into the waterways and aerosolized particles from the dust blows across the region, impacting water and air quality and harming residents’ health.""",Press release: https://www.vermontlaw.edu/news-and-events/newsroom/press-release/civil-rights-complaint-calls-for-regulation-dry-litter,race, national origin,05rno-23-r4 complaint (pdf) (1.17 mb),epa,,,,
fy23,06rno-23-r4,active,both,nc dept. of envir. quality (poultry),2023-04-21,2023-06-13,53.0,pending: under jurisdictional review,pending,pending: under jurisdictional review,False,,Biden,"Agency has failed ""to adequately regulate the dry litter poultry industry,"" discriminating against Native, Black and Latino communities in Robeson, Duplin and Sampson counties.","Robeson, Duplin and Sampson counties",NC,multiple,"Native, Black and Latino communities",,yes,Yes,Vermont Law School Environmental Justice Clinic,Lumber River Waterkeeper Jefferson Currie; environmental organizer Donna Chavis; Friends of the Earth,No,Yes,,Yes,2.0,"05RNO-23-R4, 06RNO-23-R4",https://www.epa.gov/system/files/documents/2023-04/06RNO-23-R4%20Complaint_Redacted.pdf,"""Production involves confining thousands of chickens or turkeys in long barns, and the litter (a combination of feces, urine, water, and sawdust or other bedding) is typically stored in outdoor piles attracting rodents and incubating generations of flies. The smell of the litter has been compared to 'rotting meat' and 'putrid death.' One declarant described the piles of litter or 'crust': 'Crust is dumped across the street from my house around every hundred days…. Each of the five piles is over eight feet tall. They stand there and started fuming off. The odor is terrible. Sometimes it feels like the flies are about to eat us alive—the dogs can’t even live in the yard.' Additionally, chemicals and nutrients from the litter run off into the waterways and aerosolized particles from the dust blows across the region, impacting water and air quality and harming residents’ health.""",Press release: https://www.vermontlaw.edu/news-and-events/newsroom/press-release/civil-rights-complaint-calls-for-regulation-dry-litter,race, national origin,06rno-23-r4 complaint (pdf) (1.17 mb),epa,,,,
fy23,04r-23-r9,closed,both,south coast air quality mgmt. district (ca),2023-03-06,2023-05-26,81.0,rejected without prejudice 5/26/2023: allegations unclear,rejected,rejected,True,allegations unclear,Biden,"Oil industry pollution: ""Instead of making some of the richest corporations on the planet pay a fee to help reduce emissions, for thirteen years the SCAQMD has used a toothless credit program that is supposed to curb air pollution, but in reality, does nothing to limit emissions of nitrous oxides and volatile organic carbon, exacerbating adverse health outcomes for communities of color to benefit major oil companies.""",South Coast region,CA,multiple,Communities of color,,yes,Yes,Earthjustice,People’s Collective for Environmental Justice; Communities for Better Environment; East Yard Communities for Environmental Justice; Sierra Club,No,Yes,,,1.0,,https://www.epa.gov/system/files/documents/2023-03/04R-23-R9%20Complaint_Redacted.pdf,"Unredacted complaint: https://earthjustice.org/wp-content/uploads/2023/03/title-vi-complaint-scaqmd-filing-03-06-2023.pdf. ""There are 400 major facilities in the South Coast Air Basin that are subject to the SCAQMD’s section 185 nonattainment fee regulation – SCAQMD Rule 317. These facilities emit precursors to ozone: nitrous oxides and volatile organic compounds, which contribute to severe adverse health outcomes including asthma, respiratory illnesses, emphysema, and even cancer. These major stationary sources are overwhelmingly in low-income communities and communities of color, with nearly 75 percent of stationary sources adjacent to communities in the South Coast comprised of people of color and nearly 35 percent experiencing poverty.""",Rejection letter: https://www.epa.gov/system/files/documents/2023-05/04R-23-R9%20Recip%20Rejection%20Letter_Redacted.pdf,race,,04r-23-r9 complaint (pdf) (10.65 mb) 04r-23-r9 rec rejection ltr (pdf) (324.41 kb),epa,,,,
fy23,03r-23-r4,active,both,alabama dept. of envir. mgmt. (srf program),2023-03-06,2023-06-13,99.0,pending: under jurisdictional review,pending,pending: under jurisdictional review,False,,Biden,"In Alabama’s Black Belt, ""many people lack access to a centralized sewage utility and must rely on expensive onsite sanitation systems, which often fail."" ADEM administers the Clean Water State Revolving Fund ""according to a set of policies that make it impossible for people who need help with onsite sanitation to access this money. These policies disproportionately harm Alabama’s Black residents and perpetuate an unconscionable situation."" ",multiple (Alabama's Black Belt),AL,multiple,Black communities,,yes,Yes,The Center for Rural Enterprise and Environmental Justice; the Natural Resources Defense Council,,No,Yes,,,1.0,,https://www.epa.gov/system/files/documents/2023-03/03R-23-R4%20Complaint_Redacted.pdf,"""For decades, many Alabama residents have struggled to access adequate sanitation. The problem is especially severe in the Black Belt, named for its dark, fertile, clayey soils. In rural areas, many people are not served by a centralized sewer system and must rely on onsite sewage treatment. In the Black Belt, onsite systems often fail because of the region’s impermeable soil, and broken or failed onsite sanitation systems cause raw sewage to back up into homes or pool outside. This problem will worsen as climate change intensifies, leading to rising water tables and more intense rains, which will increase failure rates for onsite sanitation systems. ... Those who cannot afford a functioning onsite system are forced to use makeshift straight pipes that discharge raw sewage from homes to yards, woods, or other nearby outdoor areas. At the same time, state laws threaten residents who cannot afford functioning onsite systems with fines, arrests, and potential liens on their homes. Sanitation inequity in Alabama has become notorious, raising human rights concerns and garnering national and international attention.""",,race,,03r-23-r4 complaint (pdf) (378.41 kb),epa,,,,
