epa_complaint_#,named_entity,clean_date_received,current_status,clean_current_status,clean_current_status_date,clean_current_status_reason,clean_alleged_discrimination_basis,0,1,clean_referred_agency,time_elapsed_since_update
01r-22-r4,"city of conyers, ga",2021-10-14,rejected/referred to hud7/6/2022: lack of jurisdiction,rejected/referred to hud,2022-07-06,lack of jurisdiction,race,race,,hud,265.0
02r-22-r4,"rockdale county, ga",2021-10-14,pending: under jurisdictionalreview,pending,,under jurisdictionalreview,race,race,,,
01rno-22-r5,michigan egle (flint i),2021-11-08,pending: in informal resolutionagreement negotiation,pending,,in informal resolutionagreement negotiation,"race,national origin",race,national origin,,
02rno-22-r5,michigan egle (detroit),2021-11-08,pending: in informal resolutionagreement negotiation,pending,,in informal resolutionagreement negotiation,"race,national origin",race,national origin,,
01d-22-r2,puerto rico asa,2021-11-18,rejected/referred to eeoc3/31/2022:  lack of jurisdiction,rejected/referred to eeoc,2022-03-31, lack of jurisdiction,,,,eeoc,133.0
01rno-22-r9,pima county (az) deq,2021-12-19,pending: under jurisdictionalreview,pending,,under jurisdictionalreview,"race,national origin",race,national origin,,
01dar-22-r3,pa doh (wyomingcounty),2021-12-20,pending: under jurisdictionalreview,pending,,under jurisdictionalreview,retaliation,retaliation,,,
02dar-22-r3,pa dep (wyomingcounty),2021-12-20,pending: under jurisdictionalreview,pending,,under jurisdictionalreview,retaliation,retaliation,,,
03dr-22-r3,pa doh (susquehannacounty),2021-12-20,pending: under jurisdictionalreview,pending,,under jurisdictionalreview,retaliation,retaliation,,,
04dr-22-r3,pa dep (susquehannacounty),2021-12-20,pending: under jurisdictionalreview,pending,,under jurisdictionalreview,retaliation,retaliation,,,
01rno-22-r1,providence watersupply board (ri),2022-01-05,pending: in informal resolutionagreement negotiation,pending,,in informal resolutionagreement negotiation,"race,national origin",race,national origin,,
04rno-22-r5,city of chicago (dept.of health),2022-01-11,rejected w/o prejudice in light ofpending hud investigation:4/26/2022,rejected w/o prejudice in light ofpending hud investigation,2022-04-26,,"race,national origin",race,national origin,,105.0
01no-22-r10,puget sound clean airagency (wa),2022-01-11,pending: under jurisdictionalreview,pending,,under jurisdictionalreview,nationalorigin,nationalorigin,,,
01r-22-r6,louisiana deq (st. johnthe baptist parish),2022-01-20,pending:  in informal resolutionagreement negotiation,pending,, in informal resolutionagreement negotiation,race,race,,,
02r-22-r6,louisiana doh,2022-01-20,pending:  in informal resolutionagreement negotiation,pending,, in informal resolutionagreement negotiation,race,race,,,
03r-22-r4,georgia dnr,2022-01-24,pending: under jurisdictionalreview,pending,,under jurisdictionalreview,race,race,,,
03rno-22-r6,city of houston,2022-01-28,pending: under jurisdictionalreview,pending,,under jurisdictionalreview,"race,national origin",race,national origin,,
04r-22-r6,louisiana deq (st.james parish),2022-02-02,pending:  in informal resolutionagreement negotiation,pending,, in informal resolutionagreement negotiation,race,race,,,
02r-22-r1,ma dep,2022-02-17,pending: under jurisdictionalreview,pending,,under jurisdictionalreview,race,race,,,
04rda-22-r4,nc deq (burlingtonnorth facility),2022-03-17,pending: under jurisdictionalreview,pending,,under jurisdictionalreview,"disability, agedisability",disability, agedisability,,
01cr-22-r8,colorado departmentof public health andenvironment (cdphe),2022-03-18,pending:  compliance reviewinvestigation initiated,pending,, compliance reviewinvestigation initiated,"race,national origin",race,national origin,,
05r-22-r5,wisconsin dnr,2022-03-23,pending: under jurisdictionalreview,pending,,under jurisdictionalreview,race,race,,,
06r-22-r5,madison metrosewerage district (wi),2022-03-23,pending: under jurisdictionalreview,pending,,under jurisdictionalreview,race,race,,,
05rno-22-r4,florida dept. of envir.protection,2022-03-31,pending: under jurisdictionalreview,pending,,under jurisdictionalreview,"race,national origin",race,national origin,,
05rno-22-r6,texas comm. on envir.quality (harris county),2022-04-05,pending: under jurisdictionalreview,pending,,under jurisdictionalreview,"race,national origin",race,national origin,,
01r-21-r9,"bay area air qualitymonitoring district, ca",2020-11-30,pending: preliminary findings ofnon-compliance issued6/21/2021,pending,2021-06-21,preliminary findings ofnon-compliance issued6/21/2021,race,race,,,203.0
02r-21-r9,"san francisco dept. ofpublic health, ca",2020-11-30,rejected 12/22/2020: lack ofjurisdiction,rejected ,2020-12-22,lack ofjurisdiction,race,race,,,22.0
01rno-21-r5,illinois epa,2021-01-06,pending: in informal resolutionagreement negotiation,pending,,in informal resolutionagreement negotiation,"race,national origin",race,national origin,,
01r-21-r3,"city of ranson, wv",2021-01-08,rejected 1/28/2021: lack ofjurisdiction,rejected ,2021-01-28,lack ofjurisdiction,race,race,,,20.0
02r-21-r3,"philadelphia dept. ofhealth, pa",2021-03-05,pending: in informal resolutionagreement negotiation,pending,,in informal resolutionagreement negotiation,race,race,,,
01r-21-r4,"town of trenton, nc",2021-03-05,rejected 3/22/2021: lack ofjurisdiction,rejected ,2021-03-22,lack ofjurisdiction,race,race,,,17.0
02ad-21-r4,epa region 4,2021-03-26,rejected 4/30/2021: lack ofjurisdiction,rejected ,2021-04-30,lack ofjurisdiction,"disability, age",disability, age,,35.0
03r-21-r4,tennessee dept. ofenvir. and conservation,2021-05-21,pending: in informal resolutionagreement negotiation,pending,,in informal resolutionagreement negotiation,race,race,,,
01rno-21-r6,texas department oftransportation,2021-05-28,"rejected 6/24/2021: samecomplaint pending with leadagency, us dot",rejected ,2021-06-24,"samecomplaint pending with leadagency, us dot","race,national origin",race,national origin,,27.0
02r-21-r5,upper miss river basinassociation,2021-05-28,pending: in informal resolutionagreement negotiation,pending,,in informal resolutionagreement negotiation,race,race,,,
02d-21-r3,maryland departmentof the environment,2021-06-01,rejected 7/28/2021:  untimelyfiled/same complaint pendingwith eeoc,rejected ,2021-07-28, untimelyfiled/same complaint pendingwith eeoc,,,,,57.0
04x-21-r4,south carolinaagencies,2021-05-25,rejected 7/7/2021: lack ofinformation/complainant non-responsive,rejected ,2021-07-07,lack ofinformation/complainant non-responsive,,,,,43.0
03r-21-r3,va department ofenvironmental quality,2021-07-21,pending: in informal resolutionagreement negotiation,pending,,in informal resolutionagreement negotiation,race,race,,,
