fy_rec'd,summary_status,epa_file_#,named_entity,clean_date_received,detailed_status,primary_status,primary_status_map,secondary_status,recent_status_date,referred_agency,disc_basis_1,disc_basis_2,time_difference,related_documents
fy23,active,07rno-23-r6,louisiana dept. of envir. quality,2023-05-31,pending: under jurisdictional review,pending,pending,under jurisdictional review,2023-06-13,,race, national origin,13,07rno-23-r6 complaint (pdf) (9.18 mb)
fy23,active,10r-23-r4,"city of dothan, ala.",2023-05-24,pending: under jurisdictional review,pending,pending,under jurisdictional review,2023-06-13,,race,,20,10r-23-r4 complaint (pdf) (3.21 mb)
fy23,closed,06r-23-r5,michigan. dept. of edu.,2023-05-17,rejected and referred to u.s. dept. of education 6/9/2023: lack of jurisdiction,rejected and referred.s. dept. of education,rejected and referred,lack of jurisdiction,2023-06-09,u.s. dept. of education ,race,,23,06r-23-r5 complaint and appendix (pdf) (560.31 kb) 06r-23-r5 rec reject-referral (pdf) (177.65 kb) 06r-23-r5 ed referral ltr (pdf) (118.31 kb)
fy23,active,05r-23-r5,indiana dept. of envir. mgmt,2023-05-16,pending: under jurisdictional review,pending,pending,under jurisdictional review,2023-06-13,,race,,28,05r-23-r5 complaint (pdf) (3.15 mb)
fy23,active,09r-23-r4,"beaufort county, sc",2023-05-09,pending: under jurisdictional review,pending,pending,under jurisdictional review,2023-06-13,,race,,35,09r-23-r4 complaint (pdf) (287.91 kb)
fy23,active,08r-23-r4,alabama dept. of envir. mgmt. (mobile ),2023-05-08,pending: under jurisdictional review,pending,pending,under jurisdictional review,2023-06-13,,race,,36,08r-23-r4 complaint (pdf) (3.33 mb)
fy23,active,05rno-23-r4,nc envir. mgmt. comm'n,2023-04-21,pending: under jurisdictional review,pending,pending,under jurisdictional review,2023-06-13,,race, national origin,53,05rno-23-r4 complaint (pdf) (1.17 mb)
fy23,active,06rno-23-r4,nc dept. of envir. quality (poultry),2023-04-21,pending: under jurisdictional review,pending,pending,under jurisdictional review,2023-06-13,,race, national origin,53,06rno-23-r4 complaint (pdf) (1.17 mb)
fy23,closed,04r-23-r9,south coast air quality mgmt. district (ca),2023-03-06,rejected without prejudice 5/26/2023: allegations unclear,rejected,rejected,allegations unclear,2023-05-26,,race,,81,04r-23-r9 complaint (pdf) (10.65 mb) 04r-23-r9 rec rejection ltr (pdf) (324.41 kb)
fy23,active,03r-23-r4,alabama dept. of envir. mgmt. (srf program),2023-03-06,pending: under jurisdictional review,pending,pending,under jurisdictional review,2023-06-13,,race,,99,03r-23-r4 complaint (pdf) (378.41 kb)
