EPA File No.,Complainant/Attorney,Date of Title VI complaint,Accused Agency,Claim of Discrimination,Concern Employment Discrimination? Y/N,Grievance Summary,Neighborhood,City,State,County,Date EPA received complaint,Complaint filed within 180 day limit? ,Complaint describes Title VI prohibited discrimination? ,Accused agency receives EPA funding? ,OCR Review Ruling,Referred agency,Date OCR sent review response to complainant,OCR InvestigationDate ,Final Adjudication & Reason,CPI OCR FINAL INVESTIGATION DATE ,Documents
01D-08-R5,Redacted,1/8/08,"City of Bellville, St. Clair County",DISABILITY,No,"Complaint alleged that city and county officials failed to enforce open leaf-burning restrictions, subjecting residents to health dangers. ",,BELLEVILLE,IL,ST. CLAIR COUNTY,1/14/08,Yes,N/A,No,Rejection,US Justice Department,6/6/08,,"Denied - Claims, Referred",,https://www.documentcloud.org/documents/2162373-epa_01d-08-r5.html
01R-00-R6,"Sierra Club, People Against Contaminated Environments (PACE)",4/13/00,Texas Natural Resources Conservation Commission ,"RACE, COLOR, NATIONAL ORIGIN",No,Complaint alleged that TNRCC failed to give minority residents an opportunity to comment on a permit for Mobil's Beaumont refinery.,,BEAUMONT,TX,,4/1/00,Yes,Yes,Yes,Accepted,,6/2/03,,Pending,N/A,https://www.documentcloud.org/documents/2162374-epa_01r-00-r6.html
01R-01-R2,Redacted,12/15/00,City of Syracuse,RACE,No,Complaint alleged the city failed to consider all viable options before committing to use federal funding for a sewage treatment plant in a low-income area. ,"Census Tracts 30,33, 40 and 41",SYRACUSE,NY,ONANDOGA COUNTY,2/1/01,No,Yes,Yes,Rejection,,8/24/01,,Denied - Untimely,,https://www.documentcloud.org/documents/2162375-epa_01r-01-r2.html
01R-02-R6,La Cienega Valley Citizens for Environmental Safeguards,2/6/02,"New Mexico Environment Dept. City of Santa Fe, Los Alamos National Lab","RACE, COLOR, NATIONAL ORIGIN",,Complaint alleged that approvals of the Sante Fe Downs landfill site master plan were discriminatory because they didn't adequately address water quality and other issues. ,Area near Santa Fe Municipal Airport,SANTA FE,NM,SANTA FE COUNTY,2/1/02,No,N/A,No,Rejection,,1/16/03,,"Denied - Financial, Untimely, Claims",,https://www.documentcloud.org/documents/2162377-epa_01r-02-r6.html
01R-03-R10,Rosemere Neighborhood Association,2/20/03,City of Vancouver Development Review Services,,No,Complaint alleged that the city used zoning to provide municipal services in a discriminatory manner against ethnic minorities and the poor inside the Transit Overlay District.,"Rosemere, West Minnehala, Central Park, Hudson's Bay, Fourth Plain Village, Harney Heights, Bagley Downs, Meadow Homes, Ogden, Oakbrook, Van Mall, Shumway, Arnada, Esther Short, Hough, Carter Park and Lincoln",WEST VANCOUVER,WA,,2/2/03,N/A,N/A,No,Rejection,,5/23/03,,Denied - Financial,,https://www.documentcloud.org/documents/2162378-epa_01r-03-r10.html
01R-03-R10r,Rosemere Neighborhood Association,12/13/03,City of Vancouver Mayor's Office,RETALIATION,No,"Complainant alleged that the city retaliated against the group for filing a 2003 Title VI complaint by refusing to comply with requests for information, meetings and by attempting to withdraw formal recognition of the group. ",Rosemere ,VANCOUVER,WA,,12/13/03,Yes,Yes,Yes,Accepted,,8/16/05,4/30/07,Dismissed,4/30/07,https://www.documentcloud.org/documents/2162379-epa_01r-03-r10r.html
01R-04-R10,Columbia Deepening Opposition Group & Salmon For All ,1/20/04,"Oregon Dept. of Environmental Quality, Washington Dept. of Ecology",RACE,No,Complainant alleges that input from minority communities were not adequately sought on plans to improve the Columbia and Lower Willamette River Channels. ,,,WA,PACIFIC AND WHAKIAKUM COUNTIES,1/22/04,No,N/A,N/A,Rejection,,7/24/06,,Denied - Untimely,,https://www.documentcloud.org/documents/2162380-epa_01r-04-r10.html
01R-05-R4,Resident,2/7/05,Alabama Dept. of Environmental Management,RACE,No,Complaint alleged that the Army Corps of Engineers didn't inform or include African-American citizens in discussions of a permit application to expand the existing landfill by the Tallassee Waste Disposal Center,Ashurst Bar/Smith neighborhoods,,AL,TALLAPOOSA COUNTY,2/5/05,Yes,N/A,N/A,Rejection,,12/6/05,,Denied - Moot,,https://www.documentcloud.org/documents/2162381-epa_01r-05-r4.html
01R-06-R4,West End Revitalization Association,4/6/06,"North Carolina Dept. of Transportation, Alamance County Urban Area Transportation Improvement Program",RACE,No,Complaint alleged the state continually delayed the draft environmental impact statement for a road widening and paving project. ,West End/White Level,MEBANE,NC,,4/17/06,Yes,N/A,No,Rejection,,9/11/06,,Denied - Financial,,https://www.documentcloud.org/documents/2162383-epa_01r-06-r4.html
01R-07-R4,Atty. Carolyn Chapman,2/10/07,"City of Port St. Joe, Port St. Joe Redevelopment Agency",,No,"Complaint alleged historic segregation, housing discrimination, lack of access to city services and inadequate capital improvements.   ",North Port St. Joe,,,,2/26/07,N/A,No,No,Rejection,,8/5/08,,"Denied - Financial, Claims",,https://www.documentcloud.org/documents/2162384-epa_01r-07-r4.html
