EPA Complaint #,Named Entity,"Date
Received","Alleged
Discrimination
Basis",Current Status
01R-22-R4,"City of Conyers, GA",10/14/2021,Title VI: Race,"Pending: Under Jurisdictional
Review"
02R-22-R4,"Rockdale County, GA",10/14/2021,Title VI: Race,"Pending: Under Jurisdictional
Review"
01R-22-R5,Michigan EGLE (Flint),11/8/2021,Title VI: Race,"Pending: Under Jurisdictional
Review"
EPA Complaint #,Named Entity,"Date
Received","Alleged
Discrimination
Basis",Current Status
01R-21-R9,"Bay Area Air Quality
Monitoring District, CA",11/30/2020,Title VI: Race,"Pending: Preliminary Findings of
Non-Compliance Issued
6/21/2021"
02R-21-R9,"San Francisco Dept. of
Public Health, CA",11/30/2020,Title VI: Race,"Rejected 12/22/2020: Lack of
Jurisdiction"
01RNO-21-R5,Illinois EPA,1/6/2021,"Title VI: Race,
National Origin","Pending: In Informal Resolution
Negotiation"
01R-21-R3,"City of Ranson, WV",1/8/2021,Title VI: Race,"Rejected 1/28/2021: Lack of
Jurisdiction"
02R-21-R3,"Philadelphia Dept. of
Health, PA",3/5/2021,Title VI: Race,"Pending: In Informal Resolution
Negotiation"
01R-21-R4,"Town of Trenton, NC",3/5/2021,Title VI: Race,"Rejected 3/22/2021: Lack of
Jurisdiction"
02AD-21-R4,EPA Region 4,3/26/2021,"Section 504/Age
Act: Disability, Age","Rejected 4/30/2021: Lack of
Jurisdiction"
03R-21-R4,"Tennessee Dept Env
and Conservation",5/21/2021,Title VI: Race,"Pending: In Informal Resolution
Negotiation"
01RNO-21-R6,"Texas Department of
Transportation",5/28/2021,"Title VI: Race,
National Origin","Rejected 6/24/2021: Same
Complaint Pending with Lead
Agency, US DOT"
02R-21-R5,"Upper Miss River Basin
Association",5/28/2021,Title VI: Race,"Pending: In Informal Resolution
Negotiation"
02D-21-R3,"Maryland Department
of the Environment",6/1/2021,"Section 504:
Disability,
Employment","Rejected 7/28/2021:  Untimely
Filed/Same Complaint Pending
with EEOC"
04X-21-R4,"South Carolina
Agencies",5/25/2021,Unclear,"Rejected 7/7/2021: Lack of
Information/Complainant Non-
Responsive"
01DS-21-R2,"Borough of Sayreville,
NJ",6/29/2021,"Section 504/Title
IX: Disability, Sex","Rejected 7/23/2021: Lack of
Jurisdiction"
03R-21-R3,"VA Department of
Environmental Quality",7/21/2021,Title VI: Race,"Pending: In Informal Resolution
Negotiation"
04R-21-R3,"Hanover County, VA",7/21/2021,Title VI: Race,"Rejected 8/12/2021: Lack of
Jurisdiction"
02R-21-R6,"Texas Comm. on Envir.
Quality",8/18/2021,Title VI: Race,Pending: Under Investigation
02RNO-21-R2,New York DEC,8/30/2021,"Title VI: Race;
National Origin",Pending: Under Investigation
04RNO-21-R2,National Grid,8/30/2021,"Title VI: Race;
National Origin","Not accepted for Investigation
10-21-2021: Lack of Jurisdiction
(Coordinating with DOJ, DOT,
DOE)"
03R-21-R5,Kalamazoo County,9/1/2021,Title VI: Race,"Pending:  Under Jurisdictional
Review"
04R-21-R5,"Michigan EGLE
(Kalamazoo)",9/1/2021,Title VI: Race,"Pending:  Under Jurisdictional
Review"
03NO-21-R6,New Mexico Env. Dept.,9/16/2021,"Title VI: National
Origin","Pending:  Under Jurisdictional
Review"
EPA Complaint #,Named Entity,"Date
Received","Alleged Discrimination
Basis",Current Status
01U-20-R3,"PA Dept of
Corrections",10/16/2019,Unknown,"Rejected/Referred to DOJ
10/17/2020: Lack of Jurisdiction"
01U-20-R6,"Texas Dept of
Criminal Justice",10/29/2019,Unknown,"Rejected/Referred to DOJ
10/30/2020: Lack of Jurisdiction"
01R-20-R4,"ADEM - Dothan MSW
Landfill",10/31/2019,Title VI: Race,"Rejected without Prejudice
11/22/2019: Not Ripe for Review"
01NO-20-R9,"UTC Collins
Aerospace",11/4/2019,"Title VI: National
Origin","Rejected 11/8/2019: Lack of
Jurisdiction"
02NO-20-R6,Texas CEQ,11/12/2019,"Title VI: National
Origin","Resolved with Informal Resolution
Agreement 11/4/2020: In
Monitoring"
03D-20-R6,"Senior Services of
America, Inc.",11/14/2019,Section 504: Disability,"Rejected/Referred to EEOC
12/9/2019: Lack of
Jurisdiction/Required Referral"
01NO-20-R10,"Puget Sound Clean
Air Agency",11/15/2019,"Title VI: National
Origin","Rejected without Prejudice
12/9/2019: Not Ripe for Review"
01D-20-R5,Wisconsin DNR,12/5/2019,Section 504: Disability,"Rejected/Referred to EEOC
12/26/2019: Lack of Jurisdiction"
02r-20-R9,Hawaii DOA,1/9/2020,"Title VI: Retaliation,
National Origin","Rejected/Referred to EEOC
1/31/2020: Investigation
Unjustified/Lack of Jurisdiction"
02NO-20-R10,"Puget Sound Clean
Air Agency",1/31/2020,"Title VI: National
Origin","Rejected without Prejudice
2/25/2020: Not Ripe for Review"
02R-20-R4,NC DEQ,2/6/2020,"Title VI: Race, National
Origin","Rejected without Prejudice
3/2/2020: Not Ripe for Review"
03R-20-R4,Kennesaw State Univ.,2/11/2020,Title VI: Race,"Rejected 3/3/2020: Same
Complaint Pending with Lead
Agency, US Dept of Education"
