FY Rec'd,Summary Status,EPA File #,Named Entity,Date Received,Alleged Discrimination Basis,Detailed Status,Related Documents
FY23,Active,07RNO-23-R6,Louisiana Dept. of Envir. Quality,5/31/2023,"Title VI: Race, National Origin",Pending: Under Jurisdictional Review,07RNO-23-R6 Complaint (pdf) (9.18 MB)
FY23,Active,10R-23-R4,"City of Dothan, Ala.",5/24/2023,Title VI: Race,Pending: Under Jurisdictional Review,10R-23-R4 Complaint (pdf) (3.21 MB)
FY23,Closed,06R-23-R5,Michigan. Dept. of Edu.,5/17/2023,Title VI: Race,Rejected and Referred to U.S. Dept. of Education 6/9/2023: Lack of Jurisdiction,06R-23-R5 Complaint and Appendix (pdf) (560.31 KB) 06R-23-R5 REC Reject-Referral (pdf) (177.65 KB) 06R-23-R5 ED Referral Ltr (pdf) (118.31 KB)
FY23,Active,05R-23-R5,Indiana Dept. of Envir. Mgmt,5/16/2023,Title VI: Race,Pending: Under Jurisdictional Review,05R-23-R5 Complaint (pdf) (3.15 MB)
FY23,Active,09R-23-R4,"Beaufort County, SC",5/9/2023,Title VI: Race,Pending: Under Jurisdictional Review,09R-23-R4 Complaint (pdf) (287.91 KB)
FY23,Active,08R-23-R4,Alabama Dept. of Envir. Mgmt. (Mobile ),5/8/2023,Title VI: Race,Pending: Under Jurisdictional Review,08R-23-R4 Complaint (pdf) (3.33 MB)
FY23,Active,05RNO-23-R4,NC Envir. Mgmt. Comm'n,4/21/2023,"Title VI: Race, National Origin",Pending: Under Jurisdictional Review,05RNO-23-R4 Complaint (pdf) (1.17 MB)
FY23,Active,06RNO-23-R4,NC Dept. of Envir. Quality (Poultry),4/21/2023,"Title VI: Race, National Origin",Pending: Under Jurisdictional Review,06RNO-23-R4 Complaint (pdf) (1.17 MB)
FY23,Closed,04R-23-R9,South Coast Air Quality Mgmt. District (CA),3/6/2023,Title VI: Race,Rejected Without Prejudice 5/26/2023: Allegations Unclear,04R-23-R9 Complaint (pdf) (10.65 MB) 04R-23-R9 REC Rejection Ltr (pdf) (324.41 KB)
FY23,Active,03R-23-R4,Alabama Dept. of Envir. Mgmt. (SRF Program),3/6/2023,Title VI: Race,Pending: Under Jurisdictional Review,03R-23-R4 Complaint (pdf) (378.41 KB)
FY23,Active,06R-23-R1,"City of Hartford, CT",3/5/2023,Title VI: Race,Pending: Under Jurisdictional Review,06R-23-R1 Complaint (pdf) (48.25 KB)
FY23,Active,07R-23-R1,The Metropolitan District (MDC),3/5/2023,Title VI: Race,Pending: Under Jurisdictional Review,07R-23-R1 Complaint (pdf) (48.25 KB)
FY23,Closed,06NO-23-R2,NYC Dept. of Envir. Protection,3/2/2023,Title VI: National Origin,Rejected 5/31/2023: Lack of Timely Discriminatory Act,06NO-23-R2 Complaint (pdf) (762.34 KB) 06NO-23-R2 REC Rejection Ltr (pdf) (120.51 KB)
FY23,Closed,07NO-23-R2,NYC Dept. of Health & Mental Hygiene,3/2/2023,Title VI: National Origin,Rejected 5/31/2023: Lack of Timely Discriminatory Act,07NO-23-R2 Complaint (pdf) (762.34 KB) 07NO-23-R2 REC Rejection Ltr (pdf) (120.51 KB)
FY23,Active,05RNO-23-R1,CT Dept. of Energy & Envir. Protection,2/28/2023,"Title VI: Race, National Origin",Pending: Under Jurisdictional Review,05RNO-23-R1 Complaint (pdf) (187.49 KB)
FY23,Active,04NO-23-R1,Mass. EEA,2/24/2023,Title VI: National Origin,Pending: Under Jurisdictional Review,"04NO-23-R1 Complaint (pdf) (535.31 KB)
Exhibits Pending"
FY23,Closed,02X-23-R4,Northwest Correctional Complex (Tenn.),2/22/2023,Unknown,Rejected and Referred to DOJ 3/8/2023: Lack of Jurisdiction,02X-23-R4 Correspondence (pdf) (1.93 MB) 02X-23-R4 DOJ Referral (pdf) (208.91 KB) 02X-23-R4 REC Reject-Referral (pdf) (198.2 KB)
FY23,Closed,04NO-23-R2,NJ Dept. of Envir. Protection,2/16/2023,Title VI: National Origin,Rejected 5/31/2023: Lack of Timely Discriminatory Act,04NO-23-R2 Complaint (pdf) (1.84 MB) 04NO-23-R2 REC Rejection Ltr (pdf) (118 KB)
FY23,Closed,05NO-23-R2,NJ Dept. of Health,2/16/2023,Title VI: National Origin,Rejected 5/31/2023: Lack of Timely Discriminatory Act,05NO-23-R2 Complaint (pdf) (1.84 MB) 05NO-23-R2 REC Rejection Ltr (pdf) (118 KB)
FY23,Active,01NO-23-R10,Yakima Regional Clean Air Agency,2/6/2023,Title VI: National Origin,Pending: Under Jurisdictional Review,01NO-23-R10 Complaint 1 (pdf) (585.83 KB) 01NO-23-R10 Complaint 2 (pdf) (555.27 KB)
FY23,Closed,06X-23-R6,Coffield Unit (Texas Dept. of Criminal Justice),1/19/2023,Unknown,Rejected and Referred to DOJ 1/26/2023: Lack of Jurisdiction,06X-23-R6 Correspondence (pdf) (1.08 MB) 06X-23-R6 REC Reject-Referral (pdf) (198.76 KB) 06X-23-R6 DOJ Referral Ltr (pdf) (209.2 KB)
FY23,Active,02RNO-23-R1,"City of Hartford, CT",1/18/2023,"Title VI: Race, National Origin",Pending: Under Jurisdictional Review,02RNO-23-R1 Complaint (pdf) (469.93 KB)
FY23,Active,03RNO-23-R3,The Metropolitan District (MDC),1/18/2023,"Title VI: Race, National Origin",Pending: Under Jurisdictional Review,03RNO-23-R1 Complaint (pdf) (469.93 KB)
FY23,Closed,02X-23-R9,California Training Facility (Calif. Dept. of Corrections & Rehab.),1/18/2023,Unknown,Rejected and Referred to DOJ 1/26/2023: Lack of Jurisdiction,02X-23-R9 Correspondence (pdf) (2.34 MB) 02X-23-R9 REC Reject-Referral (pdf) (199.28 KB) 02X-23-R9 DOJ Referral (pdf) (199.44 KB)
FY23,Active,01R-23-R4,"GA Dept. of Natural Resources, Envir. Protection Div.",1/4/2023,Title VI: Race,Pending: Under Jurisdictional Review,01R-23-R4 Complaint (pdf) (1.54 MB)
