epa_file_#,named_entity_x,clean_date_received_x,detailed_status,simplified status,Reason for rejection (if applicable),Date of EPA decision,"Presidential administration (considering, if pending; decided, if not)",Environmental Justice Issue(s) Cited,Alleged Discrimination Basis,City,State,ZIP code,Community Impacted,Filed by a lawyer?,Group filing,Filed on behalf of,Is this an EPA-initiated compliance review?,Does the complaint seem to be about an environmental justice matter? ,Notes on EJ categorization,Is there more than one complaint about the matter?,All related complaint numbers,"Total related complaints (includes situations where they're all unique, e.g. complaints filed at different times)","Count this as a unique complaint? (If part of a split complaint, the case with the highest EPA action status is marked ""yes"")",Complaint link,Notes,Additional notes,status check
07RNO-23-R6,Louisiana Dept. of Envir. Quality,5/31/2023,Pending: Under Jurisdictional Review,pending: under jurisdictional review,,Not yet decided,Biden,"The states of Louisiana and Texas have failed to properly implement air-quality standards, ""specifically their abuse of EPA’s 'significant impact levels' ('SILs') guidance. ... They instead use the SILs unlawfully as a tool to permit large concentrations of heavy-emitting industry to build in areas where modeling shows the air may no longer meet the NAAQS [air quality standards]. They do it without exercising the case-by-case discretion that the SILs Guidance requires or complying with the Clean Air Act’s prohibition on causing or contributing to such violations. And in nearly every instance we describe, the resulting harm—air that is dangerous to breathe—falls most heavily on the predominately Black, Latino, or Indigenous, as well as low-income communities that live closest to these industrial facilities. This is how sacrifice zones are created.""","Title VI: Race, National Origin",mutiple,TX and LA,multiple,"Predominately Black, Latino or Indigenous and low-income communities",Yes,Earthjustice,RISE St. James; Vessel Project of Louisiana; For a Better Bayou; Deep South Center for Environmental Justice; Healthy Gulf; Louisiana Bucket Brigade; Sierra Club,No,Yes,,,,1,yes,https://www.epa.gov/system/files/documents/2023-06/07RNO-23-R6%20Complaint_Redacted.pdf,"Unredacted complaint: https://earthjustice.org/wp-content/uploads/2023/05/petition-epa-under-caa-title-vi-re-sils.pdf. Quote: ""EPA possesses a wide range of legal authority empowering, and in some instances requiring it, to correct this harm, under both the Clean Air Act and Title VI of the Civil Rights Act.""",Press release: https://earthjustice.org/press/2023/gulf-groups-file-petition-to-correct-louisiana-and-texas-violation-of-air-pollution-permitting-standards,Pending: Under Jurisdictional Review
10R-23-R4,"City of Dothan, Ala.",5/24/2023,Pending: Under Jurisdictional Review,pending: under jurisdictional review,,Not yet decided,Biden,"Short complaint: ""EPA made a grant of $297,000 to the City of Dothan, Alabama (https://www.usaspending.gov/award/ASST_NON_01D11020_6800). Attached is a document indicating that the City of Dothan may have submitted an application for an additional grant from EPA for $500,000. I can find no evidence that the recipient has complied with 40 CFR 7.85(g), 7.90, or 7.95. I request that you investigate whether the City has violated EPA's Title VI requirements and withhold making any new grants until these requirements have been fully complied with.""",Title VI: Race,Dothan,AL,not cited,not cited,Yes,Law office of David A. Ludder,,No,Yes,"He didn't cite specifics (including the groups discriminated against), but he has represented residents in other complaints to the EPA regarding the Dothan landfill and racial discrimination",,,1,yes,https://www.epa.gov/system/files/documents/2023-05/City%20of%20Dothan%20Title%20VI%20Violation%20Complaint.pdf,,,Pending: Under Jurisdictional Review
05R-23-R5,Indiana Dept. of Envir. Mgmt,5/16/2023,Pending: Under Jurisdictional Review,pending: under jurisdictional review,,Not yet decided,Biden,"IDEM granted a renewed permit for the (not yet constructed) Maya Energy waste facility in Northern Lake County, ""a predominantly nonwhite area plagued with health disparities that are caused or exacerbated by an abundance of air pollution. Despite being aware of these environmental justice issues, IDEM chose a policy of ignoring the disparate impact of its permitting actions that resulted in Northern Lake County being used as a sacrifice zone for the most noxious and heavily-polluting industries.""",Title VI: Race,Gary and Northern Lake County,IN,not cited,Predominantly Black community,Yes,Environmental Law & Policy Center,redacted people and/or groups,No,Yes,,,,1,yes,https://www.epa.gov/system/files/documents/2023-05/05R-23-R5%20Complaint_Redacted.pdf,,,Pending: Under Jurisdictional Review
09R-23-R4,"Beaufort County, SC",5/9/2023,Pending: Under Jurisdictional Review,pending: under jurisdictional review,,Not yet decided,Biden,"Complainant is concerned that a proposed high-end development will push the Gullah Geechee from their homes and encroach on a ""delicate and fragile"" ecosystem",Title VI: Race,St. Helena Island,SC,not cited,Predominantly Black community,No,Redacted individual,,No,Unlikely,Primary concern is about displacement and cultural impacts; some references to wildlife,,,1,yes,https://www.epa.gov/system/files/documents/2023-05/09R-23-R4%20Complaint%20Redacted.pdf,,,Pending: Under Jurisdictional Review
08R-23-R4,Alabama Dept. of Envir. Mgmt. (Mobile ),5/8/2023,Pending: Under Jurisdictional Review,pending: under jurisdictional review,,Not yet decided,Biden,"ADEM’s issuance of permits for five sites ""within a one-week period in November 2022 and without meaningful consideration the impact of these sources’ emissions on the surrounding communities in Mobile, including the predominantly Black neighborhood of Africatown ... the first established and controlled by African-born freedmen in the United States.""",Title VI: Race,Mobile,AL,not cited,Predominantly Black community,Yes,Laumann Legal; Smith Environmental Law,Mobile Environmental Justice Action Coalition; GASP; Africatown Clean Healthy Educated Safe and Sustainable Community; the Mobile Chapter of the NAACP,No,Yes,,,,1,yes,https://www.epa.gov/system/files/documents/2023-05/08R-23-R4%20Complaint_Redacted.pdf,Significant civil-rights history in this complaint,,Pending: Under Jurisdictional Review
05RNO-23-R4,NC Envir. Mgmt. Comm'n,4/21/2023,Pending: Under Jurisdictional Review,pending: under jurisdictional review,,Not yet decided,Biden,"Agency has failed ""to adequately regulate the dry litter poultry industry,"" discriminating against Native, Black and Latino communities in Robeson, Duplin and Sampson counties.","Title VI: Race, National Origin","Robeson, Duplin and Sampson counties",NC,multiple,"Native, Black and Latino communities",Yes,Vermont Law School Environmental Justice Clinic,Lumber River Waterkeeper Jefferson Currie; environmental organizer Donna Chavis; Friends of the Earth,No,Yes,,Yes,"05RNO-23-R4, 06RNO-23-R4",2,no,https://www.epa.gov/system/files/documents/2023-04/05RNO-23-R4%20Complaint%20Redacted.pdf,"""Production involves confining thousands of chickens or turkeys in long barns, and the litter (a combination of feces, urine, water, and sawdust or other bedding) is typically stored in outdoor piles attracting rodents and incubating generations of flies. The smell of the litter has been compared to 'rotting meat' and 'putrid death.' One declarant described the piles of litter or 'crust': 'Crust is dumped across the street from my house around every hundred days…. Each of the five piles is over eight feet tall. They stand there and started fuming off. The odor is terrible. Sometimes it feels like the flies are about to eat us alive—the dogs can’t even live in the yard.' Additionally, chemicals and nutrients from the litter run off into the waterways and aerosolized particles from the dust blows across the region, impacting water and air quality and harming residents’ health.""",Press release: https://www.vermontlaw.edu/news-and-events/newsroom/press-release/civil-rights-complaint-calls-for-regulation-dry-litter,Pending: Under Jurisdictional Review
06RNO-23-R4,NC Dept. of Envir. Quality,4/21/2023,Pending: Under Jurisdictional Review,pending: under jurisdictional review,,Not yet decided,Biden,"Agency has failed ""to adequately regulate the dry litter poultry industry,"" discriminating against Native, Black and Latino communities in Robeson, Duplin and Sampson counties.","Title VI: Race, National Origin","Robeson, Duplin and Sampson counties",NC,multiple,"Native, Black and Latino communities",Yes,Vermont Law School Environmental Justice Clinic,Lumber River Waterkeeper Jefferson Currie; environmental organizer Donna Chavis; Friends of the Earth,No,Yes,,Yes,"05RNO-23-R4, 06RNO-23-R4",2,yes,https://www.epa.gov/system/files/documents/2023-04/06RNO-23-R4%20Complaint_Redacted.pdf,"""Production involves confining thousands of chickens or turkeys in long barns, and the litter (a combination of feces, urine, water, and sawdust or other bedding) is typically stored in outdoor piles attracting rodents and incubating generations of flies. The smell of the litter has been compared to 'rotting meat' and 'putrid death.' One declarant described the piles of litter or 'crust': 'Crust is dumped across the street from my house around every hundred days…. Each of the five piles is over eight feet tall. They stand there and started fuming off. The odor is terrible. Sometimes it feels like the flies are about to eat us alive—the dogs can’t even live in the yard.' Additionally, chemicals and nutrients from the litter run off into the waterways and aerosolized particles from the dust blows across the region, impacting water and air quality and harming residents’ health.""",Press release: https://www.vermontlaw.edu/news-and-events/newsroom/press-release/civil-rights-complaint-calls-for-regulation-dry-litter,Pending: Under Jurisdictional Review
04R-23-R9,South Coast Air Quality Mgmt. District (CA),3/6/2023,Rejected Without Prejudice 5/26/2023: Allegations Unclear,rejected,allegations unclear,5/26/2023,Biden,"Oil industry pollution: ""Instead of making some of the richest corporations on the planet pay a fee to help reduce emissions, for thirteen years the SCAQMD has used a toothless credit program that is supposed to curb air pollution, but in reality, does nothing to limit emissions of nitrous oxides and volatile organic carbon, exacerbating adverse health outcomes for communities of color to benefit major oil companies.""",Title VI: Race,South Coast region,CA,multiple,Communities of color,Yes,Earthjustice,People’s Collective for Environmental Justice; Communities for Better Environment; East Yard Communities for Environmental Justice; Sierra Club,No,Yes,,,,1,yes,https://www.epa.gov/system/files/documents/2023-03/04R-23-R9%20Complaint_Redacted.pdf,"Unredacted complaint: https://earthjustice.org/wp-content/uploads/2023/03/title-vi-complaint-scaqmd-filing-03-06-2023.pdf. ""There are 400 major facilities in the South Coast Air Basin that are subject to the SCAQMD’s section 185 nonattainment fee regulation – SCAQMD Rule 317. These facilities emit precursors to ozone: nitrous oxides and volatile organic compounds, which contribute to severe adverse health outcomes including asthma, respiratory illnesses, emphysema, and even cancer. These major stationary sources are overwhelmingly in low-income communities and communities of color, with nearly 75 percent of stationary sources adjacent to communities in the South Coast comprised of people of color and nearly 35 percent experiencing poverty.""",Rejection letter: https://www.epa.gov/system/files/documents/2023-05/04R-23-R9%20Recip%20Rejection%20Letter_Redacted.pdf,Rejected Without Prejudice 5/26/2023: Allegations Unclear
03R-23-R4,Alabama Dept. of Envir. Mgmt.,3/6/2023,Pending: Under Jurisdictional Review,pending: under jurisdictional review,,Not yet decided,Biden,"In Alabama’s Black Belt, ""many people lack access to a centralized sewage utility and must rely on expensive onsite sanitation systems, which often fail."" ADEM administers the Clean Water State Revolving Fund ""according to a set of policies that make it impossible for people who need help with onsite sanitation to access this money. These policies disproportionately harm Alabama’s Black residents and perpetuate an unconscionable situation."" ",Title VI: Race,multiple (Alabama's Black Belt),AL,multiple,Black communities,Yes,The Center for Rural Enterprise and Environmental Justice; the Natural Resources Defense Council,,No,Yes,,,,1,yes,https://www.epa.gov/system/files/documents/2023-03/03R-23-R4%20Complaint_Redacted.pdf,"""For decades, many Alabama residents have struggled to access adequate sanitation. The problem is especially severe in the Black Belt, named for its dark, fertile, clayey soils. In rural areas, many people are not served by a centralized sewer system and must rely on onsite sewage treatment. In the Black Belt, onsite systems often fail because of the region’s impermeable soil, and broken or failed onsite sanitation systems cause raw sewage to back up into homes or pool outside. This problem will worsen as climate change intensifies, leading to rising water tables and more intense rains, which will increase failure rates for onsite sanitation systems. ... Those who cannot afford a functioning onsite system are forced to use makeshift straight pipes that discharge raw sewage from homes to yards, woods, or other nearby outdoor areas. At the same time, state laws threaten residents who cannot afford functioning onsite systems with fines, arrests, and potential liens on their homes. Sanitation inequity in Alabama has become notorious, raising human rights concerns and garnering national and international attention.""",,Pending: Under Jurisdictional Review
06R-23-R1,"City of Hartford, CT",3/5/2023,Pending: Under Jurisdictional Review,pending: under jurisdictional review,,Not yet decided,Biden,"Black residents of Hartford’s North End ""impacted by sewage discharge and flooding in our homes due to racially discriminatory behavior by the City of Hartford and Hartford’s Metropolitan District Commission ('MDC') water utility.""",Title VI: Race,Hartford,CT,multiple,Black community,Unclear,Redacted individual,,No,Yes,,"Yes (there is a separate complaint on the matter that's also split in multiple, but I don't list those here)","06R-23-R1, 07R-23-R1",2,yes,https://www.epa.gov/system/files/documents/2023-03/06R-23-R1%20Complaint_Redacted.pdf,"""Over several months, Hartford experienced consistent rainfall that caused an extraordinary amount of precipitation that flooded our homes with water and sewage, including human waste. This flooding devastated our home. I was horrified to learn that my basement was flooded with sewage from houses throughout my neighborhood. Even when a representative from the Connecticut Department of Energy and Environmental Quality ('DEEP') and I urged MDC to act quickly to fix the flapper valve that led to the discharge, they refused to take action, and my home was flooded with an additional three feet of water. ... My basement was full of antiques, family heirlooms, and personal items that had enormous personal and familial value to me. When the water and sewage flooded the space, I lost everything. What’s more, the stagnant water in my basement worsened the air quality in my home, making it unlivable and unsafe. As a result, I have moved into a hotel for the last several months to try and preserve my health. The need to relocate is an enormous personal cost that is straining my budget well beyond its limits. ... While many residents will be impacted by this flooding and sewage backup, the impacts will be much worse for low-income families without the disposable incomes and resources to respond to these disasters. What’s more, legacies and present realities of environmental racism and housing discrimination have pushed communities of color into areas that are more likely to have weaker pipes, less responsive utility service, and fewer natural barriers to stop flooding and sewage backup. Consequently, the communities most impacted by stormwater surge, flooding, and sewer back-up tend to be communities like mine – those that are composed of people of color and low-income communities.""","EPA page on the matter: https://www.epa.gov/ct/epa-efforts-north-hartford-address-sewer-backups
https://www.courant.com/2023/03/24/epa-update-story/
https://ctmirror.org/2023/03/25/hartford-ct-sewage-flooding-water-north-end/
https://www.courant.com/2023/01/20/north-hartford-residents-say-epa-left-them-high-and-dry-over-flooding-complaints-agency-postpones-review-due-to-unanticipated-publicity/",Pending: Under Jurisdictional Review
